,IC
2023-01-06,0.26363636363636367
2023-01-13,0.0
2023-01-20,0.26363636363636367
2023-01-27,0.18181818181818182
2023-02-03,-0.17272727272727276
2023-02-10,-0.4272727272727273
2023-02-17,-0.23636363636363636
2023-02-24,-0.18181818181818182
2023-03-03,-0.5090909090909091
2023-03-10,0.3272727272727273
2023-03-17,0.02727272727272728
2023-03-24,-0.21818181818181823
2023-03-31,0.18181818181818182
2023-04-07,-0.5
2023-04-14,0.6272727272727273
2023-04-21,-0.3727272727272728
2023-04-28,0.1272727272727273
2023-05-05,0.20909090909090913
2023-05-12,-0.009090909090909092
2023-05-19,0.2545454545454546
2023-05-26,0.0
2023-06-02,0.5090909090909091
2023-06-09,-0.38181818181818183
2023-06-16,0.28181818181818186
2023-06-23,-0.17272727272727276
2023-06-30,0.3545454545454546
2023-07-07,-0.009090909090909092
2023-07-14,-0.24545454545454545
2023-07-21,0.6545454545454547
2023-07-28,-0.5454545454545455
2023-08-04,-0.4090909090909091
2023-08-11,0.5818181818181819
2023-08-18,-0.38181818181818183
2023-08-25,-0.28181818181818186
2023-09-01,0.24545454545454545
2023-09-08,-0.7363636363636363
2023-09-15,-0.05454545454545456
2023-09-22,-0.8636363636363636
2023-09-29,0.07272727272727274
2023-10-06,0.24545454545454545
2023-10-13,0.18181818181818182
2023-10-20,-0.41818181818181827
2023-10-27,-0.05454545454545456
2023-11-03,-0.14545454545454548
2023-11-10,-0.11818181818181818
2023-11-17,-0.10000000000000002
2023-11-24,-0.27272727272727276
2023-12-01,0.36363636363636365
2023-12-08,0.05454545454545456
2023-12-15,-0.3181818181818182
2023-12-22,-0.5090909090909091
2023-12-29,-0.690909090909091
2024-01-05,-0.13636363636363638
2024-01-12,0.5909090909090909
2024-01-19,0.29090909090909095
2024-01-26,0.46363636363636374
2024-02-02,0.29090909090909095
2024-02-09,-0.33636363636363636
2024-02-16,0.7454545454545456
2024-02-23,-0.46363636363636374
2024-03-01,-0.2545454545454546
2024-03-08,-0.20000000000000004
2024-03-15,-0.5545454545454546
2024-03-22,0.5909090909090909
2024-03-29,0.33636363636363636
2024-04-05,-0.23636363636363636
2024-04-12,-0.15454545454545454
2024-04-19,0.15454545454545454
2024-04-26,-0.1272727272727273
2024-05-03,-0.6818181818181819
2024-05-10,0.36363636363636365
2024-05-17,-0.02727272727272728
2024-05-24,0.11818181818181818
2024-05-31,0.4272727272727273
2024-06-07,0.22727272727272727
2024-06-14,-0.23636363636363636
2024-06-21,-0.5
2024-06-28,0.3454545454545455
2024-07-05,0.7818181818181819
2024-07-12,-0.38181818181818183
2024-07-19,-0.17272727272727276
2024-07-26,0.16363636363636366
2024-08-02,-0.5
2024-08-09,0.4909090909090909
2024-08-16,-0.3727272727272728
2024-08-23,-0.5
2024-08-30,-0.09090909090909091
2024-09-06,-0.21818181818181823
2024-09-13,0.29090909090909095
2024-09-20,0.5272727272727273
2024-09-27,0.18181818181818182
2024-10-04,-0.18181818181818182
2024-10-11,-0.14545454545454548
2024-10-18,-0.14545454545454548
2024-10-25,0.009090909090909092
2024-11-01,-0.06363636363636364
2024-11-08,-0.13636363636363638
2024-11-15,-0.27272727272727276
2024-11-22,0.16363636363636366
2024-11-29,0.08181818181818183
2024-12-06,0.3090909090909091
2024-12-13,-0.27272727272727276
2024-12-20,0.4090909090909091
2024-12-27,-0.19090909090909092
